title,sell_price,orig_price,rating,num_ratings_reviews
Whirlpool 200 L Direct Cool Single Door 4 Star Refrigerator,"₹18,599","₹21,500",3.8,18 Ratings & 1 Reviews
SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator with Base Drawer,"₹15,390","₹16,990",4.4,"3,473 Ratings & 338 Reviews"
LG 45 L Direct Cool Single Door 2 Star Refrigerator,"₹7,890","₹10,190",4.1,612 Ratings & 78 Reviews
Whirlpool 245 L Frost Free Double Door 2 Star Refrigerator,"₹23,490","₹29,350",4.3,"5,256 Ratings & 568 Reviews"
MarQ by Flipkart 190 L Direct Cool Single Door 3 Star Refrigerator,"₹12,490","₹15,990",4.1,"1,367 Ratings & 186 Reviews"
SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,"₹16,090","₹18,990",4.4,"19,424 Ratings & 2,015 Reviews"
SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator,"₹14,690","₹15,990",4.4,"4,302 Ratings & 420 Reviews"
Haier 256 L Frost Free Double Door Bottom Mount 4 Star Convertible Refrigerator,"₹29,999","₹46,499",4.2,57 Ratings & 3 Reviews
Godrej 240 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹19,790","₹25,000",4.3,"1,580 Ratings & 205 Reviews"
"LG 260 L Frost Free Double Door 1 Star Refrigerator  with Smart Inverter With Multi Air Flow Cooling ,...","₹24,990","₹27,290",4.3,52 Ratings & 3 Reviews
Haier 190 L Direct Cool Single Door 2 Star Refrigerator,"₹12,800","₹18,700",4.3,283 Ratings & 35 Reviews
Godrej 265 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹25,490","₹31,800",4.3,711 Ratings & 68 Reviews
SAMSUNG 192 L Direct Cool Single Door 2 Star Refrigerator,"₹14,690","₹15,990",4.4,"7,720 Ratings & 781 Reviews"
LG 260 L Frost Free Double Door 2 Star Convertible Refrigerator  with Convertible Refrigerator,"₹25,490","₹33,299",4.4,997 Ratings & 84 Reviews
Whirlpool 190 L Direct Cool Single Door 4 Star Refrigerator  with Intellisense Inverter Compressor,"₹16,890","₹20,850",4.3,"13,661 Ratings & 1,434 Reviews"
CANDY 225 L Direct Cool Single Door 2 Star Refrigerator,"₹13,490","₹20,000",4.3,"3,450 Ratings & 511 Reviews"
LG 260 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹30,989","₹43,399",3.7,7 Ratings & 0 Reviews
,,,,
,,,,
LG 215 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer  with Fast Ice Making,"₹19,590","₹26,099",4.6,64 Ratings & 3 Reviews
